Structure,Entry,Value,Index
EventCommand,Code,EasyRpg_TriggerEventAt,2002
EventCommand,Code,EasyRpg_SmartMoveRoute,2003
EventCommand,Code,EasyRpg_SmartStepToward,2004
EventCommand,Code,EasyRpg_CallMovementAction,2050
EventCommand,Code,EasyRpg_WaitForSingleMovement,2051
EventCommand,Code,EasyRpg_AnimateVariable,2052
EventCommand,Code,EasyRpg_SetInterpreterFlag,2053
EventCommand,Code,EasyRpg_ProcessJson,2055
EventCommand,Code,EasyRpg_CloneMapEvent,2056
EventCommand,Code,EasyRpg_DestroyMapEvent,2057
EventCommand,Code,EasyRpg_StringPictureMenu,2058
EventCommand,Code,Maniac_GetSaveInfo,3001
EventCommand,Code,Maniac_Save,3002
EventCommand,Code,Maniac_Load,3003
EventCommand,Code,Maniac_EndLoadProcess,3004
EventCommand,Code,Maniac_GetMousePosition,3005
EventCommand,Code,Maniac_SetMousePosition,3006
EventCommand,Code,Maniac_ShowStringPicture,3007
EventCommand,Code,Maniac_GetPictureInfo,3008
EventCommand,Code,Maniac_ControlBattle,3009
EventCommand,Code,Maniac_ControlAtbGauge,3010
EventCommand,Code,Maniac_ChangeBattleCommandEx,3011
EventCommand,Code,Maniac_GetBattleInfo,3012
EventCommand,Code,Maniac_ControlVarArray,3013
EventCommand,Code,Maniac_KeyInputProcEx,3014
EventCommand,Code,Maniac_RewriteMap,3015
EventCommand,Code,Maniac_ControlGlobalSave,3016
EventCommand,Code,Maniac_ChangePictureId,3017
EventCommand,Code,Maniac_SetGameOption,3018
EventCommand,Code,Maniac_CallCommand,3019
EventCommand,Code,Maniac_ControlStrings,3020
EventCommand,Code,Maniac_GetGameInfo,3021
EventCommand,Code,Maniac_EditPicture,3025
EventCommand,Code,Maniac_WritePicture,3026
EventCommand,Code,Maniac_AddMoveRoute,3027
EventCommand,Code,Maniac_EditTile,3028
EventCommand,Code,Maniac_ControlTextProcessing,3029
EventPage,ManiacEventInfo,action,0
EventPage,ManiacEventInfo,touched,1
EventPage,ManiacEventInfo,collision,2
EventPage,ManiacEventInfo,auto_start,3
EventPage,ManiacEventInfo,parallel,4
EventPage,ManiacEventInfo,called,5
EventPage,ManiacEventInfo,battle_start,6
EventPage,ManiacEventInfo,battle_parallel,7
EventPage,ManiacEventInfo,map_event,16
EventPage,ManiacEventInfo,common_event,32
EventPage,ManiacEventInfo,battle_event,64
SavePicture,EasyRpgFlip,none,0
SavePicture,EasyRpgFlip,x,1
SavePicture,EasyRpgFlip,y,2
SavePicture,EasyRpgFlip,both,3
SavePicture,EasyRpgType,default,0
SavePicture,EasyRpgType,window,1
Skill,HpType,cost,0
Skill,HpType,percent,1
SaveEventExecState,RuntimeFlags,conf_override_active,0x01
SaveEventExecState,RuntimeFlags,patch_destiny_on,0x10
SaveEventExecState,RuntimeFlags,patch_destiny_off,0x20
SaveEventExecState,RuntimeFlags,patch_dynrpg_on,0x40
SaveEventExecState,RuntimeFlags,patch_dynrpg_off,0x80
SaveEventExecState,RuntimeFlags,patch_maniac_on,0x100
SaveEventExecState,RuntimeFlags,patch_maniac_of,0x200
SaveEventExecState,RuntimeFlags,patch_common_this_event_on,0x400
SaveEventExecState,RuntimeFlags,patch_common_this_event_off,0x800
SaveEventExecState,RuntimeFlags,patch_unlock_pics_on,0x1000
SaveEventExecState,RuntimeFlags,patch_unlock_pics_off,0x2000
SaveEventExecState,RuntimeFlags,patch_keypatch_on,0x4000
SaveEventExecState,RuntimeFlags,patch_keypatch_off,0x8000
SaveEventExecState,RuntimeFlags,patch_rpg2k3_cmds_on,0x10000
SaveEventExecState,RuntimeFlags,patch_rpg2k3_cmds_off,0x20000
SaveEventExecState,RuntimeFlags,use_rpg2k_battle_system_on,0x40000
SaveEventExecState,RuntimeFlags,use_rpg2k_battle_system_off,0x80000
