Structure,Field,Is2k3
SaveEasyRpgWindow,draw_frame,0
SaveEasyRpgWindow,border_margin,0
SaveEasyRpgText,draw_gradient,0
SaveEasyRpgText,draw_shadow,0
SaveEasyRpgText,bold,0
SaveEasyRpgText,italic,0
EasyRpgFrameRuntime,reserved_1,0
EasyRpgEventRuntime,reserved_1,0
EasyRpgStateRuntime,conf_override_active,0
EasyRpgStateRuntime,reserved_1,0
EasyRpgStateRuntime,reserved_2,0
EasyRpgStateRuntime,reserved_3,0
EasyRpgStateRuntime,patch_destiny_on,0
EasyRpgStateRuntime,patch_destiny_off,0
EasyRpgStateRuntime,patch_dynrpg_on,0
EasyRpgStateRuntime,patch_dynrpg_off,0
EasyRpgStateRuntime,patch_maniac_on,0
EasyRpgStateRuntime,patch_maniac_off,0
EasyRpgStateRuntime,patch_common_this_event_on,0
EasyRpgStateRuntime,patch_common_this_event_off,0
EasyRpgStateRuntime,patch_unlock_pics_on,0
EasyRpgStateRuntime,patch_unlock_pics_off,0
EasyRpgStateRuntime,patch_keypatch_on,0
EasyRpgStateRuntime,patch_keypatch_off,0
EasyRpgStateRuntime,patch_rpg2k3_cmds_on,0
EasyRpgStateRuntime,patch_rpg2k3_cmds_off,0
EasyRpgStateRuntime,use_rpg2k_battle_system_on,0
EasyRpgStateRuntime,use_rpg2k_battle_system_off,0
